idSugestaoResposta,sugestaoResposta,comentario,IDComentarioFK,IDUsuarioFK,,,,,,,,,,,
861,"Olá, agradecemos por compartilhar sua experiência conosco. Lamentamos muito pelo atendimento que você recebeu e entendemos que isso causou uma má impressão. Vamos levar em consideração suas sugestões sobre orientar os clientes antes de sentar e colocar uma placa na porta informando sobre a capacidade máxima de pessoas devido ao Covid-19. Pedimos desculpas pelo inconveniente causado e esperamos ter a oportunidade de recebê-la novamente para oferecer uma experiência melhor.","Atendimento péssimo (algo que não é novidade em Manaus ) tentei comer coxinha ( que eu acho mt boa) na unidade do Amazonas shopping, porém não tinha. Fui para unidade do parque 10. Entrei no estabelecimento olhei a vitrine, sentei em uma mesa ( onde já tinha outras clientes e não sabia que a mesa estava toda reservada para eles.) Daí que atendente veio falar que naquela mesa não podia sentar , ok onde posso sentar  ? Ela responde que não tem lugar ,esta lotado. Pq nao orienta o cliente antes de sentar, pq nao coloca uma placa na porta avisando que chegou no limite de capacidade de pessoas (devido o covid) Sinceramente ridículo.",32873,50368,,,,,,,,,,,
862,"Olá, agradecemos por compartilhar sua experiência conosco. Lamentamos muito pelo item faltante em seu Combo e pela falta de resposta posteriormente. Isso não é o padrão de atendimento que buscamos oferecer aos nossos clientes. Vamos analisar internamente o ocorrido para garantir que isso não se repita no futuro. Agradecemos por nos informar sobre essa situação e esperamos ter a oportunidade de melhor atendê-la em uma próxima vez.","Veio faltando um item do Combo, antes da entrega, estava falando normal com o estabelecimento. Mas quando chegou a entrega com o item faltando não me responderam mais.",203930,112199,,,,,,,,,,,
863,"Olá, agradecemos pelo seu feedback. Sentimos muito pelos problemas com os ar condicionados. Vamos verificar e resolver essa questão o mais rápido possível. Esperamos que você nos dê outra chance no futuro.","Precisam consertar os ar condicionados, tudo fechado nenhum ar condicionado prestando. A experiência poderia ser melhor! Melhorem?",13980,20463,,,,,,,,,,,
864,"Olá, lamentamos muito pela experiência negativa que você teve com o nosso carbonara. Pedimos desculpas pelo ocorrido e entendemos a sua frustração. Vamos verificar o que aconteceu para garantir que isso não se repita no futuro. Agradecemos pelo seu feedback.","O que aconteceu? O unico carbonara da cidade realmente CARBONARA, veio hoje creme com creme de leite e bacon. Que tristeza.",205307,111405,,,,,,,,,,,
865,"Prezado cliente, agradecemos por compartilhar sua experiência conosco. Lamentamos que você tenha tido uma má impressão em relação ao cardápio e ao atendimento. Vamos revisar nossos processos para garantir que o cardápio reflita com precisão nossos pratos e trabalhar para melhorar nosso atendimento. Agradecemos seu feedback e esperamos ter a oportunidade de recebê-lo novamente em nosso restaurante.","O cardápio não condiz com o que é servido.
Mau atendimento.",32574,62145,,,,,,,,,,,
866,"Caro cliente, agradecemos pelo seu feedback e lamentamos que a sua experiência não tenha sido satisfatória. Nós levamos em consideração os pontos negativos mencionados por você e iremos trabalhar para melhorar esses aspectos. Pedimos desculpas pela falta de discrição dos nossos funcionários e pelo incômodo causado pela música alta. Quanto à qualidade da comida, vamos revisar nossos processos para garantir que isso não aconteça novamente. Quanto ao atendimento, estamos cientes de que precisamos reforçar nossa equipe para melhor atendê-lo. Agradecemos por nos informar sobre essas questões e esperamos ter a oportunidade de recebê-lo novamente para uma experiência mais positiva.","Que lugar ruim , já fui em outros lugares que os rapazes que fazem sushi e ficam no balcão são discretos , nesse local o cara passa cantando um sertanejo a pleno pulmões com a cumplicidade do responsável do local . A comida é horror a parte , fui especificamente pelo yakimeshi , o primeiro que eles me deram estava óbvio que foi recém tirado da geladeira , o arroz desidratado . Só uma pessoa atendendo. Nas imagens o arroz requentado e a substituição",63512,22020,,,,,,,,,,,
867,"Olá, lamento muito pela sua experiência negativa em nosso restaurante. Pedimos desculpas pelo péssimo atendimento e pela falta de organização. Agradecemos seu feedback e vamos trabalhar para melhorar esses pontos.","Experiência horrível! péssimo atendimento, muito desorganizado",112372,72325,,,,,,,,,,,
868,"Prezada cliente, 

Agradecemos pelo seu feedback e lamentamos que a sua experiência não tenha sido satisfatória. Valorizamos a opinião dos nossos clientes e estamos sempre em busca de melhorias. Se você puder nos fornecer mais detalhes sobre a sua experiência, ficaremos gratos. 

Atenciosamente, 
A equipe do restaurante",Não muito bom,28210,40223,,,,,,,,,,,
869,"Olá, agradeço por compartilhar sua experiência conosco. Lamentamos muito pelo inconveniente causado. Vamos verificar e corrigir a informação no site para evitar futuros transtornos. Pedimos desculpas pela falta de compromisso percebida. Agradecemos por nos informar e faremos o possível para melhorar.",O Site informa que o local está aberto todos os dias. Vc chega aqui tá fechado. Acho falta de compromisso com cliente,16186,48946,,,,,,,,,,,
870,"Olá, agradecemos pelo seu feedback. Lamentamos que tenha tido uma experiência negativa com nosso atendimento. Levaremos suas observações em consideração para melhorar. Ficamos felizes em saber que gostou do ambiente do nosso restaurante. Esperamos ter a oportunidade de recebê-la novamente em breve.","Atendimento deixa muito a desejar , mas o lugar é bem legal !",37364,12818,,,,,,,,,,,
871,"Olá, lamentamos muito pela experiência negativa que você teve em nosso restaurante devido ao discurso prolongado no palco. Entendemos como isso pode ter afetado sua diversão e causado dor de cabeça. Agradecemos por compartilhar sua opinião e vamos trabalhar para melhorar esse aspecto em nossos eventos futuros. Esperamos ter a oportunidade de recebê-la novamente em breve.",Um cara no palco falando demais acabou com a diversão.... Deu foi dor de cabeça...,25016,14353,,,,,,,,,,,
872,"Olá, agradecemos pelo seu feedback sobre o nosso restaurante. Lamentamos que você tenha sentido que o ambiente estava barulhento e que o serviço de atendimento não tenha atendido às suas expectativas. Vamos trabalhar para melhorar esses pontos e oferecer uma experiência mais agradável aos nossos clientes. Ficamos felizes em saber que você gostou da qualidade da nossa comida. Esperamos ter a oportunidade de recebê-la novamente em breve.","Ambiente com muito ruído, serviço de atendimento fraco, comida muito boa",137496,60252,,,,,,,,,,,
873,"Prezada cliente, lamento muito pela experiência negativa que você teve em nosso restaurante. Peço desculpas pelo mau atendimento que você recebeu da minha parte. Vou me esforçar para melhorar e garantir que todos os clientes sejam tratados com atenção e cortesia. Agradeço pelo seu feedback e espero ter a oportunidade de lhe proporcionar uma experiência positiva em uma próxima visita.",Fomos mal atendidos pelo dono.,102031,64322,,,,,,,,,,,
874,"Caro cliente, lamentamos profundamente pela experiência negativa que teve em nosso restaurante. Pedimos desculpas pelo hambúrguer frio e pelo atendimento insatisfatório que recebeu. Vamos investigar o ocorrido e tomar as medidas necessárias para garantir que isso não se repita. Agradecemos por nos informar e valorizamos sua opinião.","Hamburg frio, e péssimo atendimento",134010,20942,,,,,,,,,,,
875,"Caro cliente,

Lamentamos sinceramente que sua experiência em nosso restaurante não tenha sido satisfatória. Entendemos sua insatisfação com a qualidade da carne e reconhecemos que isso afetou sua percepção sobre nosso estabelecimento.

Gostaríamos de ressaltar que estamos sempre em busca de melhorias e feedbacks como o seu nos ajudam a identificar áreas em que podemos aprimorar nossos serviços. Levaremos suas críticas em consideração para garantir que situações semelhantes não ocorram novamente.

Quanto à cobrança da carne devolvida, entendemos que isso gerou ainda mais frustração. Vamos revisar nossas políticas internas para garantir que situações como essa sejam tratadas de forma adequada.

Mais uma vez, pedimos desculpas pela experiência negativa que você teve em nosso restaurante. Agradecemos por compartilhar sua opinião e esperamos ter a oportunidade de reconquistar sua confiança no futuro.

Atenciosamente,
A equipe do restaurante","Como clientes, quer dizer, agora ex-clientes,  não indicamos à nossa família, nossos amigos, nossos conhecidos e à quem pudermos alcançar.  A propaganda boca a boca, que antes era de forma positiva, será negativa.  A carne de qualidade ruim, sem sabor etc, sendo devolvida não deveria ser cobrada.",139049,90637,,,,,,,,,,,
876,"Caro cliente, lamentamos pela demora no serviço do rodízio. Estamos trabalhando para melhorar nosso tempo de atendimento e garantir uma experiência mais ágil para todos os nossos clientes. Agradecemos pelo seu feedback e esperamos ter a oportunidade de recebê-lo novamente em nosso restaurante.",Muito demorado p rodízio,104318,72680,,,,,,,,,,,
877,"Olá, agradecemos pelo seu feedback sobre o nosso chop. Lamentamos que a sua experiência não tenha sido satisfatória. Vamos revisar os nossos processos para garantir uma melhoria na qualidade.",Pior chop que ja provei na minha vida.,140074,36180,,,,,,,,,,,
878,"Olá, lamento muito pela experiência negativa que você teve com o sabor errado da pizza. Peço sinceras desculpas pelo ocorrido e entendo a sua frustração. Vou investigar o que pode ter acontecido para que isso não se repita no futuro. Agradeço por compartilhar sua opinião e farei o possível para melhorar.",A pizza veio com o sabor errado pela segunda vez,233806,131910,,,,,,,,,,,
879,"Caro cliente, agradecemos pelo seu feedback. Lamentamos muito pelo incômodo causado pelos pedintes ao redor do nosso estabelecimento. Estamos cientes dessa situação e estamos trabalhando para encontrar uma solução que melhore a experiência dos nossos clientes. Agradecemos pela compreensão e esperamos poder recebê-lo novamente em breve.","Cerveja eh boa, mas muitos pedintes circundantes enchem o saco dos clientes. Nada contra mas de 30 em 30 segundos aparece um. Teste de paciência!!!",37936,13214,,,,,,,,,,,
880,"Caro cliente, agradecemos por compartilhar sua experiência conosco. Lamentamos profundamente que a qualidade da nossa pizza não tenha atendido às suas expectativas. Vamos rever o nosso processo produtivo para garantir que isso não aconteça novamente. Quanto ao palmito faltante, pedimos desculpas pelo erro e vamos garantir que isso não se repita. Quanto ao ambiente, entendemos que a proximidade das mesas e o barulho podem não ser ideais para um bom bate-papo. Agradecemos também pelos elogios ao atendimento e à aceitação de todos os cartões de crédito. Esperamos ter a oportunidade de recebê-lo novamente e oferecer uma experiência gastronômica mais satisfatória.","Local agradável,  muito bem frequentado mas vou ser bem franco... a pizza me decepcionou... uma das piores que já comi em Manaus... caríssima,  massa borrachuda e sem sabor. Pedi uma pizza de palmito que não veio palmito e por ai vai... paguei caro, mais taxas e sai decepcionado do local.
Posso dizer que não valeu o quanto peguei.
Fica como sugestão paraca equipe reavaliar o processo produtivo de suas pizza, pois nem só de nome se vive uma casa de massas.
Se voce quer comer em um local silencioso e relaxante para bater um bom papo não indico... lugar com mesas proximas, ambiente apertado e com muito barulho.
Sem estacionamento,  climatizado, atendimento de primeira e aceita todos os cartões de crédito.",137081,10323,,,,,,,,,,,
881,Olá! Agradecemos pelo seu feedback e por compartilhar sua experiência conosco. Lamentamos que tenha tido uma má impressão em relação ao atendimento e à cozinha. Vamos analisar seus comentários e trabalhar para melhorar a organização dos pedidos e agilizar as entregas. Esperamos ter a oportunidade de recebê-la novamente para proporcionar uma experiência mais positiva.,"Decoração e equipe de performance incrível, mas a equipe de atendimento e cozinha é muito desorganizada com os pedidos e eles demoram horrores para serem entregues",143124,50590,,,,,,,,,,,
882,"Prezada cliente,

Lamentamos profundamente pela experiência negativa que você teve em nosso restaurante. Gostaríamos de esclarecer que não houve intenção de expulsar crianças carentes, mas sim de garantir o conforto e a segurança de todos os nossos clientes. Pedimos desculpas pelo mal-entendido e agradecemos pelo seu feedback, que nos ajudará a melhorar nossos serviços. Estamos à disposição para qualquer esclarecimento adicional.

Atenciosamente,
A equipe do restaurante",Local com dono totalmente sem noção! Expulsando crianças carentes que estavam ali acompanhadas para comer. Péssimo local!!!!!!,117199,9416,,,,,,,,,,,
883,"Caro cliente, lamento muito pela experiência negativa que você teve em nosso restaurante. Gostaríamos de entender melhor o que aconteceu para podermos melhorar. Por favor, entre em contato conosco para que possamos resolver qualquer problema que tenha ocorrido.",Péssimo!,139158,81372,,,,,,,,,,,
884,"Olá, lamentamos muito pela má experiência que você teve em nosso restaurante. Pedimos desculpas pelo atraso nos pedidos e pelo atendimento insatisfatório dos garçons. Vamos analisar esses pontos negativos e trabalhar para melhorar. Agradecemos o seu feedback.",Atendimento péssimo! Atraso nos pedidos os garçons não atendem direito!,62843,55757,,,,,,,,,,,
885,"Olá, agradecemos por compartilhar sua opinião conosco. Lamentamos que você tenha tido uma má experiência com a localização e a organização do nosso restaurante. Vamos levar suas observações em consideração para melhorar esses pontos. Esperamos ter a oportunidade de recebê-la novamente para oferecer uma experiência melhor.","A localização é ruim, e é mal organizado.",24841,68518,,,,,,,,,,,
886,"Agradecemos pelo seu feedback e por compartilhar sua experiência conosco. Lamentamos que você tenha sentido que o valor aumentou e a qualidade diminuiu. Levamos seus comentários a sério e gostaríamos de entender melhor o que aconteceu. Por favor, entre em contato conosco para que possamos resolver qualquer problema que tenha ocorrido. A sua satisfação é muito importante para nós.","Já gostei muito, mas agora sinto que o valor aumentou e a qualidade diminuiu.",234270,131681,,,,,,,,,,,
887,"Olá, agradeço por compartilhar sua experiência conosco. Lamentamos pelo tempo de espera que você e sua família enfrentaram no domingo. Entendemos que isso pode ter causado um desconforto, especialmente com o calor. Pedimos desculpas por qualquer inconveniente causado. Levaremos seu feedback em consideração para melhorar nosso serviço. Esperamos ter a oportunidade de recebê-los novamente em breve.",Fomos em família (5 pessoas) no domingo e ficamos aguardando em torno de 1 hora porque achamos que valia a pena e o restaurante fica próximo de casa (apesar de aguardar no calor).,215622,112424,,,,,,,,,,,
888,"Caro cliente, lamento profundamente que tenha tido uma experiência tão negativa em nosso restaurante. Valorizamos muito o feedback dos nossos clientes e levamos em consideração suas críticas para melhorar nossos serviços. Pedimos desculpas por qualquer inconveniente causado e esperamos ter a oportunidade de reconquistar sua confiança no futuro.",Horrível experiência! Não recomendo à ninguém!!! Não desejo esta horrível experiência à ninguém,200390,100660,,,,,,,,,,,
889,"Olá, agradecemos pelo seu feedback sobre a nossa pizza. Lamentamos que a qualidade do queijo não tenha atendido às suas expectativas. Vamos revisar nossos ingredientes para garantir que isso não aconteça novamente. Agradecemos por compartilhar sua opinião e esperamos ter a oportunidade de melhor atendê-la no futuro.","Um queijo extremamente amarelo com o gosto totalmente diferente do mussarela, muito parecido com queijo prato e que não combina com pizza. Infelizmente, uma pizza cara que não atendeu minhas expectativas, já foi melhor.",234669,132129,,,,,,,,,,,
