IDComentario,comentario
8131,"Costumava ser muito bom, mas de um tempo pra cá algumas mudanças pra pior aconteceram.
Não é mais um ambiente familiar, som muito alto e música eletrônica, cobranças por área (cobram pulseira pra você poder entrar em determinadas áreas num dia normal. Absurdo!), mal estruturado e mal pensado. As mudanças realmente me farão nunca mais retornar, e meus colegas também compartilham da mesma opinião."
8139,"Lugar excelente, mas atendimento péssimo, pessoal meio perdido nos procedimento!"
8145,"O lugar é bem legal, só não espere agilidade no atendimento, precisa de muita paciência."
8163,"Péssimo atendimento. O mal atendimento já começa por uma funcionária que fica próximo ao estacionamento entregando a comanda, muito mal educada e sem qualificação para atendimento ao público.
No flutuante, os pedidos demoram mais de 30 minutos pra chegar a sua mesa mesmo sendo bebidas. Hoje a experiência foi péssima."
8212,"Muito caro estacionar 15 RS Barco por Pessoa 7 RS mais 10% Serviço.
Isto uma Qualidade de robou"
8236,"1 hora de espera em pé para poder atravessar para o flutuante. Música ruim. Porém a área para os banhistas é boa. Talvez irei uma próxima vez para ver se a experiência é melhor."
8267,"Por ficar muito longe vários Uber rejeitaram a corrida, paga o barco pra levar e trazer do flutuante."
8307,"Caiu muito no meu conceito, principalmente na questão de atendimento péssimo. Preciso variar as músicas o mesmo estilo mas com outros cantores. Ahhh por favor menos sertanejo.
Mais uma vez o atendimento continuar péssimo hoje fui com amigos (29/07).
Passamos raiva com despreparo das pessoas em ouvir suas reclamações.
Era um lugar lindo para curtir. O Abaré cresceu e o atendimento não cresceu junto.
Em Manaus o grande problema da cidade e que os prestadores de serviços pensam apenas em ganhar e esquece o cliente.
E o boca a boca é o melhor comercial.
Se liga dono do Abaré para chegar o topo é fácil o difícil é se manter.
Hoje em dia com velocidade da internet as informações correm o mundo .
Meu comentário apenas de cliente insatisfeito pela segunda vez com o atendimento. Quer passar raiva principalmente no fds vai para Abaré"
8314,"Ultimos suspiros"
8319,"Para pagar e um desafio!!! Poucas opções de comidas e bebidas !!! Preço elevado ... NÃO RECOMENDO"
8386,"O lugar é bom, o som é ótimo, mas os preços são mais elevados que o normal, tem uma comandada que pode molhar ou perder, e vc paga mais de 200 reais, caso ocorra. Um absurdo uma comanda de papel num flutuante."
8439,"Infelizmente, na primeira experiência num flutuante, mesmo com pouquíssimos clientes, eles conseguiram gerar uma péssima impressão. Demora nos pratos e os garçons somem, sem falar da pouca opções de cervejas."
8462,"Cuidado. Lugar bonitinho. Porém, sem muitas novidades para um preço tão alto."
8534,"Pouca segurança, devemos manter nossos pertences junto de nós pra não sermos furtados, como aconteceu com uma amiga."
8569,"Tudo muito caro, só estacionamento 15,00 reais."
8724,"Com certeza foi o Hambúrguer mais demorado que pedi na vida. A atendente disse que o atraso foi devido ao fluxo de pedido de hambúrgueres, mas o curioso é que não vi um hambúrguer ser entregue em nenhuma das únicas 10 mesas ocupadas no local. Se o delivery tá vendendo tudo isso de hambúrguer, uma sugestão que deixo é balancear a produção para os dois canais, pra que o cliente que se deslocou de casa até o estabelecimento expectando uma boa experiência não saia tão frustrado como eu saí daqui hoje. Uma última sugestão é oferecer luvas de plástico pra comer o hambúrguer, eh melhor do que guardanapos."
8725,"Já foi melhor!!

Basta o proprietário sair do local que a comida fica ruim, a qualidade do atendimento cai. Hoje (05/06) foi minha pior experiência. A carne estava fria e borrachuda, igual ao concorrente. A qualidade das guarnições caiu… O atendimento estava fora do padrão. Pedindo demorando a chegar (e olha que estava fraco o movimento, após as 15h).

Espero que isso seja algo pontual, porque se a picanha continuar nesse ponto (fria, picanha borrachuda), vai acabar perdendo clientela."
8816,"Cobram até a porção extra de maionese."
8837,"Pedi uma carne sol no manauara shopping e veio amarga e queimada.
Não tinha nenhum pedido junto comigo o meus, pois era 16:40. Infelizmente caiu muito a qualidade alguns meses após a inauguração."
8880,"Hoje pedi um executivo no delivery, a carne veio fria como se tivesse requentada, as guarnições molhadas do vinagrete como se so tivessem jogado na marmita, nossa deixou a desejar. E dessa forma mesmo ou só porque era um simples executivo, que dizem ser especial. Com fome e decepcionada."
8955,"Eh e minha esposa  fomos super mau atendidos, a comida não estava boa."
8994,"PRECISA MELHORAR AS ENTREGAS ,FAZ SE UM PEDIDO ,VEM OUTRO .ISSO É PESSIMO"
9160,"A comida é ótima mas o tratamento é muito indiferente.
Chegamos ao local vazio, pedimos nosso almoço, começou a chegar mais gente e a comida deles chegava primeiro que a nossa, sempre esquecendo do nosso pedido enquanto a dos outros ao redor que chegaram depois sempre chegava.
Não sei se o tratamento é diferente pra quem se veste de forma simples e quem vem com cara de quem tem dinheiro tem prioridade.
Achei isso uma palhaçada.
Na próxima eu vou experimentar vir mais arrumado pra ver se sou atendido de acordo com a aparência.
Isso se tiver uma próxima vez pq odiei esse tratamento.
As duas estrelas são somente pela comida mesmo."
9199,"Péssimo atendimento"
9214,"Gostei muito atendimento.
Gostei do que foi servido."
9292,"Vá se vc quiser ser mal atendido e quiser sair com fome...

Já foi muito bom... hoje a maior decepção!!!"
9329,"Comida boa. No entanto, passamos por dois constrangimento. Não informam inicialmente que o estacionamento é pago. Depois, ao pedir a conta aguardávamos o troco quando um garçon se aproximou e nos perguntou se havíamos mandado retirado os 10%. Informamos que não. A mesa que havia pedido era a mesa ao lado. Mas imagina você ser indagado por algo que é direito seu?! Constrangedor."
9337,"Tratar de comida, organização e ambiente tudo muito bom, no entanto, não consegui entender como um restaurante desta porte não aceita cartão American Express-AMEX.. muito estranho e decepcionante ????"
9370,"O atendimento não é bom, não recomendo e não irei mas nesse restaurante"
9391,"atendimento bom mas deu uma caida na qualidade da comida .ruim"
9446,"Não me responderam através do Instagram e quando eu cheguei lá não tinha mais mesas para jantar, sai arrasada."
9464,"Delivery e péssimo"
9586,"Fede a esgoto do próprio restaurante"
9693,"Pode melhorar"
9894,Péssimo.
9969,"O pedido demora demais p/ ser entregue. Tem que ficar insistindo ao garçom p/ o mesmo ir até a mesa. A comida é razoável."
9996,"Lotado demais, e as prioridades nunca tem prioridade."
10013,"Gosto bastante, mas fiz o pedido 11:55 e chegou 14:06... O Delivery não vale a pena!
Precisa ter mais motoqueiros pra comida chegar em tempo aceitável!!!"
10040,"Não tem respeito com seus clientes. Entrega muito demorado."
10057,"Horrível, péssimo atendimento... tiver q comer no seco, pedido 2 vezes por água, e ninguém levou, e na hora de pagar constava 8 água pra mim pagar sendo q eu não tomei nenhuma...
Uma situação de muito constrangimento... acostumado de ir no picanha mania é no tropeiro... no dia q sair pra comemorar o aniversário da minha mãe... passo por uma decepção desse tipo..."
10076,"Não foi muito boa pq a carne não é cortada em cima  da mesa já vem cortada é a carne estava  sabrecada com o gosto de fumaça eu sou cliente muito anos ai no Adolfo nunca tinha acontecido isso comigo sai dela nada satisfeito a carne tem q vim inteira e ser cortada em cima da mesa bem isso é uma opinião minha  pq nós outros lugares q eu frequento é assim em fim não gostei..."
10136,"Eu pedi  no delivery a picanha bem passada mas estava muito crua no meio. Eu tive que finalizar dando uma fritada com manteiga na frigideira .  Que pena, não voltarei mais a fazer um pedido."
10166,"Atendimento no restaurante é péssimo, TODOS os atendentes ficam conversando e fazem o atendimento de qualquer forma, como se o freguês fosse um animal. Obrigado por nada."
10167,"Decepcionado! Atendimento e comida mal feita. Não estão preparados pra alta demanda."
10176,"Você vai ao local, cheio de expectativas, a garçonete super me convenceu a comprar a picanha nobre, o pedido demora demais a chegar e quando chega a decepção, morna e sem palavras... Uma picanha tipo B pra C praticamente... O supervisor quis trocar a carne mas pela demora do pedido não quis esperar mais um tempão... Então segue a foto da PICANHA NOBRE do Adolpho. Sensacional. O Picanha mania coloca vocês no chinelo! O supervisor tentou me agradar de tudo quanto foi jeito. Sei que o erro não foi dele nem da garçonete. Mas me deu um desconto de não cobrar a taxa de serviço! Top né?! É isso..."
10203,"Questão de sabor e qualidade dos alimentos, não posso reclamar. Nota 10. Porém, o que realmente faz a diferença, é a qualidade no atendimento. Infelizmente, hoje, deixou muito a desejar no quesito atendimento: a entrada demorou a ser servida. Após os parabéns, demoraram a colocar os pratos de sobremesa... pedimos 2 vezes. Pode ser pontual... mas decepcionou!"
10229,"Acabei de pedir minha comida a maionese estava azeda e ainda esqueceram de manda meu refrigerante

Outra para atenderem o telefone demora demais já liguei 2 vezes e ninguém atende

Complicado"
10231,"A carne embora mal passada estava dura parecia uma borracha  difícil até para cortar.  Não era picanha."
10381,"Otimo comida, porém com alguns problemas; 1°Direcionado ao estacionamento onde não tem lugar para estacionar, o local não se preocupa com a segurança dos veículos fora e para estacionar na parte interna tem que pagar.

2° Sobre os 10% taxa de serviço, não são  passado para os garçons, os valores ficam para o estabelecimento, no entanto deveria ser direcionado aos garçons e serviços para uma melhor acomodação do cliente.

Por esses dois motivos para não ganhar 5 estrela."
10543,"Comida  fria"
10561,"Preço acima do normal. Não recomendo."
10590,"Fizemos pedidos de sucos, acabamos o almoço e os sucos não chegaram."
10593,"Sugestao: disponibilizar no delivery um telefone celular com Whatsapp que possa enviar o cardápio para os clientes e não forçar o cliente instalar aplicativos no celular para isso! Gosto muito daí mas temos que agir fora da caixinha!!!"
10738,"Péssima experiencia.
Fomos muito mal atendidos. Ainda estávamos comendo quando um garçom começou a retirar os pratos e comida da mesa, estragou nossa noite pois fomos comemorar uma data especial com a família.  Funcionários de mal humor.  Fomos com uma expectativa muito alta e saímos muito insatisfeitos."
10804,"Atendimento muito ruim, os garçons não explicam sobre o cardápio como por exemplo a quantidade de comida e parecem que ficam chateados quando perguntamos, atendimento melhor somente no ambiente climatizado, a picanha veio seca sem nenhuma suculência, pedi pra trocar, mas vendo o tratamento que estávamos tendo preferir ficar com a carne seca e tratar de ir embora. Todas as vezes que ficamos ao ar livre o atendimento é péssimo  só atendem bem quando o proprietário está presente, já fui várias vezes neste local e todas as vezes fomos mal atendido pelos garçons, ressalto na parte ao ar livre, acho que não gostam de trabalhar ao ar livre. Rsrsrsrs. Após este último episódio não pretendo mais voltar ao restaurante."
10860,"Péssimo atendimento"
10868,"Péssimo atendimento"
10880,"Carnes sem tempero"
10961,"Deixaram a desejar um pedido que fiz, a quantidade que recebi nao batia com a irformada. Sem contar que em uma veio imcompleta."
11006,"Amelhor opção da cidade"
11069,"Vinagrete muito salgado. Atendentes devagar quase parando. Pão de alho chegou rápido e frio. Nem tirei foto pois não pretendo voltar. Não recomendo."
11161,"Demora no atendimento e ainda com má qualidade,  dando a impressão que a qualidade do atendimenro  segue ao quanto o cliente vai gasta!"
11173,"Ligar e Comida de excelência, porém atendimento não muito bom"
11183,"Não climatizado o suficiente.
Carne fumanciada e não assada
Carne faltou tempero."
11339,"Achei tudo muito caro..."
11369,"O estabelecimento aparece nos aplicativos da Alelo como habilitado para receber pagamentos por cartão refeição, porém quando  tentei utilizá-los fui  informado que não seria possível. Segundo a garçonete a maquineta está liberada para aceitação porém, por opção do restaurante, o mesmo não é utilizado como forma de pagamento expondo os clientes a constrangimento desnecessário, bastava corrigir a informação junto a Alelo."
11402,"Comida Boa, atendimento tbm muito bom, mas..."
11537,"Petit gateau muito frio"
11569,"Não foi boa, não gostei do atendimento."
11712,"Atendimento péssimo"
11813,"Fui levar um cliente lá, sou vegetariano não suporto ESSES locais."
11824,"Não gostei"
11831,"Tem dia que bom, tem dia que é ótimos"
12135,"Precisa melhorar muito no quesito atendimento"
12247,"(Tradução do Google) RUÍNA

(Original)
RUIN"
12287,"Atendimento deixou a desejar ... a picanha parecia que estava cozida ..."
12311,"Bom, mas muito frio e a carne esfria rápido. Guarnições boas, mas não são as mais delícias. Até que é legal."
12363,"Comprei no Delivery. A carne veio pálida , com pouco sabor e com uma camada muito grande de gordura. Não fez jus ao padrão usual do Adolpho."
12369,"Comida boa, mas muito desorganizado o Picanha Mania tem um atendimento melhor!!"
12673,"Comida boa, mas tem um mau atendimento."
12815,"Tem o serviço de Delivery, mas não entrega na cidade nova. É melhor não ter..."
12830,"Horrível.  Fizemos a reserva com mais de 30 dias de antecedência para 65 pessoas. Não tinha comida preparada, ñ tinha garçom pra servir...a cozinha só deu vexame.  Não indico pra ninguém. Aqui no Rio é muito mais organizado, até o botequim da esquina."
12914,"Garçom desatento de mais tínhamos que ficar constantemente atenção para solicitar pedidos."
13076,"Estacionamento a 5 reais, constrangedor"
13197,"Perfeito no que oferece (carnes), atendimento deixa à desejar um pouco. Muito caro, porém, vale à pena gastar um pouco pelo ótimo ambiente, localização e principalmente a comida."
13231,"Comida muito boa, porém péssimo o atendimento, que começa desde a a recepcionista que nos deu as costas te o garçom que não veio pegar a conta. Tive que levantar e deixar o pagamento até o gerente. Desaprovado!!!!!"
13240,"Carne veio gelada, porções minúsculas e caras. Devem esquentar a carne só, e não ainda, não volto mais."
13309,"A carne, pedida ao ponto foi servida bem passada."
13442,"Preço muito em alto para o tamanho e qualidade da carne."
13569,"Atendimento péssimo..demora muito e os garçons e garçonetes acham que estão te fazendo favor em servir . No delivery, uma atendente anotou meu pedido errado, demoraram 1h30min pra entregar e chegou frio. E a peça de língua no salão vem inteira  ( só vende a peça: 22 reais ) , no delivery veio cortada , incompleta , pedaços diferentes, só podia ser resto !!!!!! Conclusão : eu acho a comida boa. Mas se o dono não tomar uma providência sobre isso logo, vai perder seus clientes. Eu Não peço mais !"
13626,"Lugar localizado em péssimo lugar. E poucas pessoas agradáveis. Tem lugares mas simples e melhor como na praça 14 e centro e Vieiralves"
13701,"A pista de boliche está velha, com equipamentos pendentes de manutenção.
De comes e bebes não tenho do que reclamar, mas de serviço está precisando de vários reparos."
13834,"Uma pessoa que tenha ido na decada de 90 e agora em 2022 ao amazonbowling nao nota nenhuma diferença. As maquinas sao obsoletas. Os sofás rasgados. Estacionamento sem vagas adequadas. Mds"
13916,"Ótimo ambiente e bem localizado, mas o atendimento é péssimo."
13921,"No dia que fui estava muito lotado e desorganizado"
13951,"Olá, fui até este boliche na intenção de jogar (boliche) mas ...... estava tão lotado que era quase 2 horas se espera sem previsão se o mesmo iriam continuar ou sair .... fui até o caixa pagar a água e a pessoa do caixa disse que era motivado aquela aglomeração de pessoas pelo fato de ter feito uma promoção.... não  volto mais."
13980,"Precisam consertar os ar condicionados, tudo fechado nenhum ar condicionado prestando. A experiência poderia ser melhor! Melhorem?"
14033,"Atendeu bem"
14037,"Realizei o aniversário da minha filha no local não gostei, atendimento é péssimo os pedidos demoraram chegar. Não foi de acordo com combinado funcionário  muito atrapalhado."
14054,"Ambiente bom mas desorganizado. Atendimento ruim."
14064,"Ambiente pequeno, péssimo atendimento, preços exorbitantes, as únicas coisas boas são o milkshake de morango e a caipirinha."
14127,"As pistas de boliche NÃO são muito boas, falta uma manutenção  pq tá tudo feio nas laterais da pista... Prefiro o lá do Studio 5."
14277,"As pistas não são espaçosas e o atendimento é lento."
14334,"Atendimento péssimo."
14337,"Não consegui jogar. Viagem perdida."
14388,"muito legal o boliche e a sinuca mas acredito que eles não deveriam disponibilizar computadores e ps4 para jogos online ja que a internet deles não suporta, paguei o valor solicitado pela hora para absolutamente nada, demorou muito para entrar o jogo e quando entrou travava demais, então já que estão disponibilizando algo, por gentileza, disponibilizem com qualidade."
14403,"Já foi melhor. Tem pistas que não estão funcionando e muita gente pra jogar. O lugar tá maltratado... cerâmicas arrancadas, bancos furados. Ta estranho."
14478,"Gostei do ambiente, os sucos deixaram a desejar ."
14554,"Péssimo atendimento no balcão da parte de baixo"
14598,Antigo
14646,"Pedir nota fiscal e não emitiram, falam sempre que estão com problemas de impressão."
14979,"Atendimento fraquíssimo, preço d boliche é muito alto."
15099,"Estou dando essa nota, por ter sido constrangido, pois pedi uma e a atendente disse que ñ precisava, mas ao chegar na pista tive de voltar para fazer a comanda, era o aniversário da minha caçula, vi uma grande indisposição da atendente,
Me chamo Moisés pezzini dos Santos."
15100,"Se pudesse dar nenhuma eu daria, atendimento totalmente grosseiro com falta de respeito com os clientes falta de boa vontade em atender os clientes me senti implorando um serviço. Afinal somos para ter lazer e acaba tendo estresse horrível minha irmã nunca mas faz aniversário nesse local"
15101,"Atendimento péssimo nesse domingo na recepção, no dia 04 de agosto. Porém as atendentes da pista excelentes"
15166,"Pq tive que esperar mais de 2 horas para ter uma pista disponibilizada, e qd fui brincar o elevador das bolas travou. Com isso esperei até às 21:17h, sai sem brincar com minhas filhas e sobrinhas... Todo mundo chorando na hora de ir pra casa."
15339,"Minha experiencia foi horrivel pq o estabelecimento nao soube tratar de trocar as caneletas e tive um corte profundo emtre os dedos e levei 2 pontos espero que troquem as caneletas pq nao quero que acontesa com outras pessoas espero mesmo"
15351,"Trocamos duas vezes de lugar pq estava com problemas na máquina e demorando MT para repor o boliche."
15382,"Não conheço..."
15459,"Pessimo atendimento , desorganizado"
15471,"Bom espaço físico, mais precisa melhorar instalações internas"
15627,"Bom pra se divertir sem muito se preocupar com a precisão do jogo. Precisa urgente de pistas novas e boa reforma."
15830,"Ruim demais"
15858,"Aparentemente o proprietário não se preocupa em manter o lugar em boas condições de uso. A gente percebe que desde a inauguração até hoje nada foi mudado. O que se quebrou, ainda está quebrado. A pista, por exemplo, algumas as partes soltas. A área do bar tem uma iluminação defciente e som é estridente! Pedi um sanduíche e claramente o pão estava duro. As bolas de boliche, de modo geral, estão danificadas."
15869,"(Tradução do Google) Faixas irregulares

(Original)
Pistas desniveladas"
15988,"Eu não vou mais. Estivemos no local ontem, sempre íamos. A estrutura de boliche está velha, levamos crianças e existe o risco de choque elétrico, uma vez que os monitores são antigos (tubos de imagem) e a parte traseira se abre e expõe o sistema elétrico. Na saída, fique esperto, colocaram vários ítens na nossa conta que não havíamos consumido, alguns foram retirados após reclamação mas, ainda assim, pagamos a mais. Não recomendo."
16078,"Muito barulho e demora demais para jogar"
16109,"O problema é ser sempre lotado  e ser obrigatório esperar sua vez dentro do local, o que nos obriga a consumir lá dentro. Além do preço paga jogar sinuca ser alto demais."
16112,"não gostei"
16185,"O local esta precisando de uma revitalizacao"
16186,"O Site informa que o local está aberto todos os dias. Vc chega aqui tá fechado. Acho falta de compromisso com cliente"
16268,"Atendimento péssimo, monitores quebrados, postas danificadas. Parece estar abandonado."
16297,"Lugar pequeno, estacionamento muito ruim e está sempre cheio."
16314,"Não tem espaço pra criança decente (14/07/16)"
16380,"Péssimo atendimento, olhar de desdém do garçom, cara feia, acredito que pelo fato de não sermos ricos, não frequentamos a casa, ou puro preconceito.
A comida ? Nada de especial, existem vários restaurantes em Manaus com muito mais sabor e pela metade do preço.
Resumindo, NUNCA MAIS VOLTO e ainda farei campanha contra."
16429,"Pensa em um restaurante português meia boca horrível o bacalhau em posta u acho que o pior que já comi"
16568,"Ambiente bom, mas não vale nem em sonho o preço cobrado. Surreal"
16625,"Caro demais e não é nada de excepcional. Prato servido modesto."
17028,"Já foi melhor"
17089,"As acompanhantes ficam no celular e não monitoram as crianças... Sem contar que o local estava extremamente sujo!!!"
17177,"Não acho nada e super caro isso sim"
17221,"A comida parece de plástico mo ruin"
17371,"Muito caro para ser só uma hora de brincadeira 60  reais em tempo de crise deveria ser mais em conta."
17761,"Não faz reserva ! Chega lá você entra numa fila de espera e não pode sair do local, se sair eles te tiram da lista automático. Falta de respeito com o consumidor, querem te obrigar a ficar dentro esperando .
Deveria ter a reserva, caso chegasse sua vez e não estivesse, chamasse o próximo !!!! E não querer te manter no local esperando por horas"
17975,"Caro demais"
18087,"muito caro mas legal"
18603,"Muita demora para atendimento, equipamento com mau-funcionamento e climatização feita de forma desigual."
18656,"As pistas estão com defeito, atendimento ruim...."
19082,"comida da self service boa, mas não te deixam escolher a carne do jeito q vc gosta, dificuldade para estacionar."
19092,"Experimentei o self service, tomei um susto quando vi o preço, eu, meu esposo e meu filho de 2 anos, pagamos 120,00 reais, em 2 refeições, e não foi muita comida não!  Fiquei surpresa com o valor, e a qualidade não valia o preço, a comida estava fria, e ainda era 11:30 da manhã."
19100,"Já não e mais o mesmo ... Tanto a equipe de antendimento quanto o sabor ... Não compensa comer um prato feito a não ser se vc comer feito um passarinho ... No Kilo pesado vc pega uma lapada considerada. .."
19179,"Não gostei tanto da minha experiência porque eu queria costela guisada e me disseram que não tinha, logo depois alguns clientes pediram costela guisada e foram atendidos"
19215,"Não sei, apenas passei por perto..."
19236,"Não gostei da comida ...farofa salgada , maionese ruim , eu comi muito mal"
19300,"Não gostei do atendimento. Só fui uma vez pra nunca mais."
19332,"Péssimo lugar não gostei. Caro e ambiente ruim."
19364,"Local muito quente não tem ventilação,vc sai desse lugar com cheiro de carne assada na roupa."
19381,"Buffer simples , não vale o preço cobrado"
19385,Gosto
19388,"Muito bom"
19390,"Os preços são salgados e a carne mal passada"
19403,Razoável
19639,"Pq nunca abre no horário? Sempre 5 a 15 min Atrasado"
19660,"Muito velho a pista de boliche ."
19688,"Caro e sem manutenção"
19731,"Atendimento ruim, atendente destrata os clientes, todo tempo de cara feia, precisa melhorar o atendimento ao cliente."
19774,"Muito caro a comida é lanches e bebidas,fora os 10% do garçom que quem tem que pagar e eles não nos clientes.Mais a comida é boa"
19776,"COBRANÇA DE TAXA DE SERVIÇO SEM COMUNICAR AO CLIENTE ISSO É ABSURDO, TEM QUE VERIFICAR SE O CLIENTE QUER PAGAR MAS NÃO COLOCAM NA CONTA SEM CONSULTAR...OS PREÇOS DA HORA SÃO EXORBITANTES MAIS DE $ 50.00...NÃO CUMPREM AS REGRAS PARA PREVENÇÃO COVID"
20111,"Muita criança correndo atrapalha a jogar sinuca"
20164,"Precisa melhorar e muito as informações de atendimento."
20175,"(Tradução do Google) Recuou

(Original)
Recula"
20182,"alguem me poderia me falar os preços pfv ?"
20298,"Bem inferior ao Boliche do Sumauma. Precisam dar uma boa reformada lá."
20359,"Um lixo, sinuca um ambiente pra jogar concentrado. Mais lá crianças gritando o tempo todo. Pra mim melhor lugar é sinucao."
20515,"Extremamente insatisfeito com o Delivery. Pedido com 01 :30 de atraso. Não recomendo. Hoje por exemplo com 2 crianças em casa sendo já as 15:00hs e o pedido não chega. O restaurante tem caído muito o padrão."
20554,"Tem peixaria muito melhor"
20683,"Tive a infeliz ideia de fazer o pedido pelo delívery. Tenho filho pequeno que almoça cedo, fiz o pedido 11:15, prevendo que chegaria por volta de meio dia. 12:30 e atendente continuava me enganando dizendo que o peixe estava chegando. Detalhe importantíssimo, moro 2 ruas de distância (5 min). Descaso com cliente, antendentes despreparados e, pra piorar, o peixe chegou frio e com a carne esfarelando. Um verdadeiro show de horrores, passem longe."
20764,"Deixa a desejar no atendimento. Pedi um matrinxã com baião e esse veio seco, pedi uma entrada e vieram duas, pedi para embalar em marmita uma parte do almoço e esqueceram, dizendo que o “rapaz da cozinha esqueceu”. Duas estelas pelo ambiente, as três q faltaram eh pelo péssimo atendimento."
21082,"o atendimento piorou bastante e mais uma vez não tinham a sobremesa de abacaxi com groselha."
21277,"Tive uma péssima experiência nesse lugar no qual porteiro me expulsou da calçada porque estava trocando o tênis . Alegando que eu poderia estar armado."
21390,"Serviço ruim"
